Date,DOV,Price
2006-08-04,67,47.51
2006-08-11,57,45.82
2006-08-18,45,48.22
2006-08-25,55,47.21
2006-09-01,50,48.75
2006-09-08,46,47.42
2006-09-15,60,47.70
2006-09-22,53,46.56
2006-09-29,57,47.44
2006-10-06,42,48.27
2006-10-13,50,49.91
2006-10-20,55,50.75
2006-10-27,65,47.97
2006-11-03,60,47.29
2006-11-10,59,49.83
2006-11-17,63,50.05
2006-11-24,49,50.90
2006-12-01,45,49.14
2006-12-08,43,49.65
2006-12-15,58,49.53
2006-12-22,67,48.71
2006-12-29,69,49.02
2007-01-05,45,48.40
2007-01-12,60,49.11
2007-01-19,54,48.88
2007-01-26,57,47.47
2007-02-02,45,50.27
2007-02-09,54,50.24
2007-02-16,57,50.04
2007-02-23,43,49.38
2007-03-02,52,47.18
2007-03-09,56,47.68
2007-03-16,51,47.50
2007-03-23,60,48.81
2007-03-30,51,48.81
2007-04-06,46,
2007-04-13,62,48.19
2007-04-20,69,49.95
2007-04-27,62,48.81
2007-05-04,42,48.34
2007-05-11,57,47.95
2007-05-18,68,48.49
2007-05-25,56,49.18
2007-06-01,50,50.33
2007-06-08,50,50.07
2007-06-15,61,53.36
2007-06-22,65,51.81
2007-06-29,51,51.15
2007-07-06,44,52.26
2007-07-13,69,53.23
2007-07-20,60,53.55
2007-07-27,49,49.75
2007-08-03,58,51.17
2007-08-10,59,50.41
2007-08-17,56,49.40
2007-08-24,56,49.29
2007-08-31,51,49.40
2007-09-07,49,47.92
2007-09-14,46,48.52
2007-09-21,48,50.76
2007-09-28,62,50.95
2007-10-05,41,51.40
2007-10-12,49,50.02
2007-10-19,50,48.32
2007-10-26,48,45.98
2007-11-02,57,45.09
2007-11-09,66,45.90
2007-11-16,55,46.28
2007-11-23,62,45.74
2007-11-30,61,46.28
2007-12-07,62,46.72
2007-12-14,51,45.59
2007-12-21,52,46.57
2007-12-28,59,46.50
2008-01-04,51,42.52
2008-01-11,71,37.76
2008-01-18,65,35.55
2008-01-25,64,37.66
2008-02-01,65,42.55
2008-02-08,63,40.95
2008-02-15,56,42.04
2008-02-22,46,42.66
2008-02-29,66,41.51
2008-03-07,56,40.91
2008-03-14,61,40.53
2008-03-21,57,
2008-03-28,56,41.21
2008-04-04,62,44.43
2008-04-11,54,42.34
2008-04-18,54,46.71
2008-04-25,70,47.95
2008-05-02,75,50.63
2008-05-09,84,51.80
2008-05-16,53,53.97
2008-05-23,63,52.21
2008-05-30,63,54.08
2008-06-06,76,51.93
2008-06-13,56,51.67
2008-06-20,67,51.06
2008-06-27,57,47.93
2008-07-04,52,
2008-07-11,59,46.25
2008-07-18,61,49.05
2008-07-25,65,49.51
2008-08-01,57,48.56
2008-08-08,54,49.59
2008-08-15,62,50.16
2008-08-22,59,49.76
2008-08-29,54,49.38
2008-09-05,59,45.67
2008-09-12,60,46.59
2008-09-19,48,46.21
2008-09-26,96,41.93
2008-10-03,60,35.75
2008-10-10,55,32.80
2008-10-17,62,31.10
2008-10-24,58,26.27
2008-10-31,58,31.77
2008-11-07,57,30.84
2008-11-14,67,29.21
2008-11-21,58,25.47
2008-11-28,51,29.83
2008-12-05,62,27.21
2008-12-12,52,29.63
2008-12-19,60,31.76
2008-12-26,55,31.12
2009-01-02,57,34.83
2009-01-09,59,33.15
2009-01-16,58,31.20
2009-01-23,58,30.14
2009-01-30,62,28.28
2009-02-06,63,30.71
2009-02-13,51,29.69
2009-02-20,56,27.27
2009-02-27,56,24.94
2009-03-06,57,22.32
2009-03-13,59,24.83
2009-03-20,66,25.00
2009-03-27,69,27.06
2009-04-03,64,29.64
2009-04-10,59,
2009-04-17,67,32.16
2009-04-24,63,31.84
2009-05-01,58,30.94
2009-05-08,62,34.03
2009-05-15,57,31.15
2009-05-22,91,30.90
2009-05-29,58,31.44
2009-06-05,57,35.69
2009-06-12,54,36.16
2009-06-19,65,33.57
2009-06-26,55,33.03
2009-07-03,66,
2009-07-10,53,31.52
2009-07-17,58,33.71
2009-07-24,66,35.12
2009-07-31,75,34.01
2009-08-07,53,34.35
2009-08-14,56,34.26
2009-08-21,55,35.52
2009-08-28,56,35.37
2009-09-04,62,34.93
2009-09-11,48,37.45
2009-09-18,47,39.37
2009-09-25,53,37.68
2009-10-02,48,36.79
2009-10-09,49,39.41
2009-10-16,51,39.85
2009-10-23,60,38.66
2009-10-30,50,37.68
2009-11-06,50,40.12
2009-11-13,57,41.29
2009-11-20,56,41.37
2009-11-27,48,40.58
2009-12-04,60,41.60
2009-12-11,51,41.07
2009-12-18,41,40.59
2009-12-25,56,
2010-01-01,55,
2010-01-08,56,44.85
2010-01-15,54,45.59
2010-01-22,53,43.77
2010-01-29,48,42.88
2010-02-05,54,41.49
2010-02-12,54,42.72
2010-02-19,51,46.08
2010-02-26,49,45.26
2010-03-05,50,47.02
2010-03-12,46,46.43
2010-03-19,46,46.53
2010-03-26,51,46.07
2010-04-02,50,
2010-04-09,53,48.02
2010-04-16,47,47.78
2010-04-23,56,54.20
2010-04-30,71,52.22
2010-05-07,84,48.03
2010-05-14,49,49.49
2010-05-21,57,44.45
2010-05-28,51,44.89
2010-06-04,57,43.05
2010-06-11,64,45.14
2010-06-18,69,45.63
2010-06-25,75,44.14
2010-07-02,52,41.11
2010-07-09,69,44.17
2010-07-16,58,42.58
2010-07-23,52,47.74
2010-07-30,55,47.97
2010-08-06,60,49.19
2010-08-13,67,46.41
2010-08-20,80,46.18
2010-08-27,88,45.35
2010-09-03,63,49.21
2010-09-10,61,49.20
2010-09-17,60,50.59
2010-09-24,50,51.81
2010-10-01,58,52.52
2010-10-08,72,54.54
2010-10-15,58,54.02
2010-10-22,56,53.18
2010-10-29,63,53.10
2010-11-05,52,55.08
2010-11-12,48,54.62
2010-11-19,53,54.87
2010-11-26,52,55.71
2010-12-03,51,57.79
2010-12-10,53,58.45
2010-12-17,54,57.36
2010-12-24,50,
2010-12-31,54,58.45
2011-01-07,65,57.39
2011-01-14,58,59.59
2011-01-21,56,56.66
2011-01-28,56,62.15
2011-02-04,55,65.29
2011-02-11,57,66.64
2011-02-18,50,67.75
2011-02-25,55,64.06
2011-03-04,56,65.63
2011-03-11,100,63.70
2011-03-18,66,63.34
2011-03-25,67,65.51
2011-04-01,69,67.24
2011-04-08,70,65.09
2011-04-15,53,65.32
2011-04-22,54,
2011-04-29,52,68.04
2011-05-06,54,65.42
2011-05-13,52,64.33
2011-05-20,57,63.49
2011-05-27,60,65.81
2011-06-03,52,62.46
2011-06-10,59,60.83
2011-06-17,58,62.30
2011-06-24,55,63.65
2011-07-01,53,69.09
2011-07-08,54,69.19
2011-07-15,69,65.97
2011-07-22,67,66.84
2011-07-29,55,60.47
2011-08-05,55,55.30
2011-08-12,56,55.05
2011-08-19,50,50.02
2011-08-26,52,54.39
2011-09-02,57,55.02
2011-09-09,64,51.67
2011-09-16,94,52.34
2011-09-23,82,46.28
2011-09-30,65,46.60
2011-10-07,59,50.04
2011-10-14,54,53.83
2011-10-21,55,52.71
2011-10-28,58,58.67
2011-11-04,52,56.89
2011-11-11,53,56.27
2011-11-18,64,53.11
2011-11-25,72,50.26
2011-12-02,63,55.88
2011-12-09,62,57.20
2011-12-16,59,56.14
2011-12-23,57,58.74
2011-12-30,54,58.05
2012-01-06,54,57.66
2012-01-13,52,60.22
2012-01-20,58,59.33
2012-01-27,53,63.69
2012-02-03,63,65.63
2012-02-10,53,64.51
2012-02-17,56,66.09
2012-02-24,51,65.67
2012-03-02,49,63.28
2012-03-09,64,63.14
2012-03-16,56,64.14
2012-03-23,52,62.53
2012-03-30,55,62.94
2012-04-06,55,
2012-04-13,57,60.92
2012-04-20,55,60.12
2012-04-27,53,63.50
2012-05-04,55,60.03
2012-05-11,52,58.80
2012-05-18,49,55.07
2012-05-25,53,57.78
2012-06-01,47,54.68
2012-06-08,54,56.68
2012-06-15,47,55.31
2012-06-22,45,53.57
2012-06-29,50,53.61
2012-07-06,54,52.44
2012-07-13,48,52.64
2012-07-20,51,53.42
2012-07-27,60,54.16
2012-08-03,55,54.56
2012-08-10,52,57.36
2012-08-17,45,58.31
2012-08-24,50,57.83
2012-08-31,50,57.81
2012-09-07,52,58.79
2012-09-14,57,61.64
2012-09-21,51,61.04
2012-09-28,44,59.49
2012-10-05,59,58.83
2012-10-12,53,55.33
2012-10-19,50,58.08
2012-10-26,47,57.77
2012-11-02,49,58.58
2012-11-09,53,60.46
2012-11-16,48,61.57
2012-11-23,48,63.88
2012-11-30,49,63.59
2012-12-07,53,63.73
2012-12-14,42,63.85
2012-12-21,43,64.54
2012-12-28,47,64.78
2013-01-04,46,67.30
2013-01-11,50,67.07
2013-01-18,46,68.03
2013-01-25,56,66.78
2013-02-01,50,70.34
2013-02-08,49,71.13
2013-02-15,50,72.56
2013-02-22,50,73.12
2013-03-01,87,72.96
2013-03-08,54,73.75
2013-03-15,49,74.08
2013-03-22,49,72.79
2013-03-29,47,
2013-04-05,46,71.75
2013-04-12,51,73.41
2013-04-19,53,68.15
2013-04-26,50,69.10
2013-05-03,50,71.16
2013-05-10,55,74.00
2013-05-17,55,77.21
2013-05-24,55,79.19
2013-05-31,51,78.25
2013-06-07,55,79.52
2013-06-14,55,78.60
2013-06-21,51,77.37
2013-06-28,49,77.66
2013-07-05,47,78.00
2013-07-12,52,81.00
2013-07-19,47,85.31
2013-07-26,51,84.67
2013-08-02,48,87.01
2013-08-09,49,87.92
2013-08-16,47,87.15
2013-08-23,50,87.09
2013-08-30,51,85.05
2013-09-06,51,87.60
2013-09-13,47,88.99
2013-09-20,46,90.65
2013-09-27,49,89.36
2013-10-04,50,88.97
2013-10-11,50,90.35
2013-10-18,53,88.93
2013-10-25,48,90.95
2013-11-01,51,91.26
2013-11-08,51,92.24
2013-11-15,53,93.30
2013-11-22,51,93.41
2013-11-29,53,90.74
2013-12-06,48,91.65
2013-12-13,46,89.59
2013-12-20,48,94.56
2013-12-27,49,96.32
2014-01-03,49,95.22
2014-01-10,50,94.44
2014-01-17,51,95.11
2014-01-24,51,90.33
2014-01-31,55,86.56
2014-02-07,51,85.44
2014-02-14,51,86.06
2014-02-21,49,88.99
2014-02-28,55,94.30
2014-03-07,51,82.27
2014-03-14,55,79.80
2014-03-21,50,80.72
2014-03-28,48,80.99
2014-04-04,46,83.45
2014-04-11,43,80.78
2014-04-18,51,
2014-04-25,47,84.90
2014-05-02,54,
